"No.","Time","Source","Destination","Protocol","Length","Info"
"29","54.974820132","127.0.0.1","127.0.1.1","TCP","66","48020  >  44256 [ACK] Seq=6 Ack=55 Win=65536 Len=0 TSval=504490716 TSecr=3813966030"
"30","54.974965349","127.0.1.1","127.0.0.1","TCP","154","44256  >  33638 [PSH, ACK] Seq=1 Ack=4 Win=65536 Len=88 TSval=3813966030 TSecr=504490716"
"31","54.974970174","127.0.0.1","127.0.1.1","TCP","66","33638  >  44256 [ACK] Seq=4 Ack=89 Win=65536 Len=0 TSval=504490716 TSecr=3813966030"
"32","54.975112833","127.0.0.1","127.0.1.1","TCP","66","33638  >  44256 [FIN, ACK] Seq=4 Ack=89 Win=65536 Len=0 TSval=504490716 TSecr=3813966030"
"33","55.018909196","127.0.1.1","127.0.0.1","TCP","66","44256  >  33638 [ACK] Seq=89 Ack=5 Win=65536 Len=0 TSval=3813966074 TSecr=504490716"
"34","68.982162808","127.0.0.1","127.0.1.1","TCP","74","40886  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=504504724 TSecr=0 WS=128"
"35","68.982175112","127.0.1.1","127.0.0.1","TCP","74","44256  >  40886 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3813980038 TSecr=504504724 WS=128"
"36","68.982183095","127.0.0.1","127.0.1.1","TCP","66","40886  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=504504724 TSecr=3813980038"
"37","68.982210849","127.0.0.1","127.0.1.1","TCP","69","40886  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=3 TSval=504504724 TSecr=3813980038"
"38","68.982213804","127.0.1.1","127.0.0.1","TCP","66","44256  >  40886 [ACK] Seq=1 Ack=4 Win=65536 Len=0 TSval=3813980038 TSecr=504504724"
"39","68.982330650","127.0.1.1","127.0.0.1","TCP","66","44256  >  33638 [FIN, ACK] Seq=89 Ack=5 Win=65536 Len=0 TSval=3813980038 TSecr=504490716"
"40","68.982336143","127.0.0.1","127.0.1.1","TCP","66","33638  >  44256 [ACK] Seq=5 Ack=90 Win=65536 Len=0 TSval=504504724 TSecr=3813980038"
"41","68.982530341","127.0.1.1","127.0.0.1","TCP","154","44256  >  40886 [PSH, ACK] Seq=1 Ack=4 Win=65536 Len=88 TSval=3813980038 TSecr=504504724"
"42","68.982535448","127.0.0.1","127.0.1.1","TCP","66","40886  >  44256 [ACK] Seq=4 Ack=89 Win=65536 Len=0 TSval=504504724 TSecr=3813980038"
"43","68.982874825","127.0.0.1","127.0.1.1","TCP","66","40886  >  44256 [FIN, ACK] Seq=4 Ack=89 Win=65536 Len=0 TSval=504504724 TSecr=3813980038"
"44","69.030891203","127.0.1.1","127.0.0.1","TCP","66","44256  >  40886 [ACK] Seq=89 Ack=5 Win=65536 Len=0 TSval=3813980086 TSecr=504504724"
"45","117.347043527","127.0.0.1","127.0.1.1","TCP","74","47300  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=504553088 TSecr=0 WS=128"
"46","117.347052634","127.0.1.1","127.0.0.1","TCP","74","44256  >  47300 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3814028402 TSecr=504553088 WS=128"
"47","117.347060195","127.0.0.1","127.0.1.1","TCP","66","47300  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=504553088 TSecr=3814028402"
"48","117.347087078","127.0.0.1","127.0.1.1","TCP","69","47300  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=3 TSval=504553088 TSecr=3814028402"
"49","117.347089601","127.0.1.1","127.0.0.1","TCP","66","44256  >  47300 [ACK] Seq=1 Ack=4 Win=65536 Len=0 TSval=3814028402 TSecr=504553088"
"50","117.347231180","127.0.1.1","127.0.0.1","TCP","66","44256  >  40886 [FIN, ACK] Seq=89 Ack=5 Win=65536 Len=0 TSval=3814028403 TSecr=504504724"
"51","117.347236763","127.0.0.1","127.0.1.1","TCP","66","40886  >  44256 [ACK] Seq=5 Ack=90 Win=65536 Len=0 TSval=504553089 TSecr=3814028403"
"52","117.347342903","127.0.1.1","127.0.0.1","TCP","154","44256  >  47300 [PSH, ACK] Seq=1 Ack=4 Win=65536 Len=88 TSval=3814028403 TSecr=504553088"
"53","117.347350109","127.0.0.1","127.0.1.1","TCP","66","47300  >  44256 [ACK] Seq=4 Ack=89 Win=65536 Len=0 TSval=504553089 TSecr=3814028403"
"54","117.347472220","127.0.0.1","127.0.1.1","TCP","66","47300  >  44256 [FIN, ACK] Seq=4 Ack=89 Win=65536 Len=0 TSval=504553089 TSecr=3814028403"
"55","117.394954868","127.0.1.1","127.0.0.1","TCP","66","44256  >  47300 [ACK] Seq=89 Ack=5 Win=65536 Len=0 TSval=3814028450 TSecr=504553089"
"56","302.684286210","127.0.1.1","127.0.0.1","TCP","66","44256  >  47300 [FIN, ACK] Seq=89 Ack=5 Win=65536 Len=0 TSval=3814213740 TSecr=504553089"
"57","302.684300786","127.0.0.1","127.0.1.1","TCP","54","47300  >  44256 [RST] Seq=5 Win=0 Len=0"
"58","745.866455098","127.0.0.1","127.0.1.1","TCP","74","51760  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=505181608 TSecr=0 WS=128"
"59","745.866490745","127.0.1.1","127.0.0.1","TCP","74","44256  >  51760 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3814656922 TSecr=505181608 WS=128"
"60","745.866499790","127.0.0.1","127.0.1.1","TCP","66","51760  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=505181608 TSecr=3814656922"
"61","745.866529129","127.0.0.1","127.0.1.1","TCP","79","51760  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=13 TSval=505181608 TSecr=3814656922"
"62","745.866532271","127.0.1.1","127.0.0.1","TCP","66","44256  >  51760 [ACK] Seq=1 Ack=14 Win=65536 Len=0 TSval=3814656922 TSecr=505181608"
"63","745.867288164","127.0.0.1","127.0.1.1","TCP","853","51760  >  44256 [PSH, ACK] Seq=14 Ack=1 Win=65536 Len=787 TSval=505181609 TSecr=3814656922"
"64","745.867295735","127.0.1.1","127.0.0.1","TCP","66","44256  >  51760 [ACK] Seq=1 Ack=801 Win=64768 Len=0 TSval=3814656923 TSecr=505181609"
"65","745.868133150","127.0.1.1","127.0.0.1","TCP","92","44256  >  51760 [PSH, ACK] Seq=1 Ack=801 Win=65536 Len=26 TSval=3814656924 TSecr=505181609"
"66","745.868142031","127.0.0.1","127.0.1.1","TCP","66","51760  >  44256 [ACK] Seq=801 Ack=27 Win=65536 Len=0 TSval=505181610 TSecr=3814656924"
"67","745.868377173","127.0.0.1","127.0.1.1","TCP","66","51760  >  44256 [FIN, ACK] Seq=801 Ack=27 Win=65536 Len=0 TSval=505181610 TSecr=3814656924"
"68","745.910906884","127.0.1.1","127.0.0.1","TCP","66","44256  >  51760 [ACK] Seq=27 Ack=802 Win=65536 Len=0 TSval=3814656966 TSecr=505181610"
"69","802.636257442","127.0.0.1","127.0.1.1","TCP","74","32934  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=505238378 TSecr=0 WS=128"
"70","802.636268707","127.0.1.1","127.0.0.1","TCP","74","44256  >  32934 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3814713692 TSecr=505238378 WS=128"
"71","802.636277554","127.0.0.1","127.0.1.1","TCP","66","32934  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=505238378 TSecr=3814713692"
"72","802.636312574","127.0.0.1","127.0.1.1","TCP","79","32934  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=13 TSval=505238378 TSecr=3814713692"
"73","802.636315463","127.0.1.1","127.0.0.1","TCP","66","44256  >  32934 [ACK] Seq=1 Ack=14 Win=65536 Len=0 TSval=3814713692 TSecr=505238378"
"74","802.636549922","127.0.1.1","127.0.0.1","TCP","66","44256  >  51760 [FIN, ACK] Seq=27 Ack=802 Win=65536 Len=0 TSval=3814713692 TSecr=505181610"
"75","802.636557386","127.0.0.1","127.0.1.1","TCP","66","51760  >  44256 [ACK] Seq=802 Ack=28 Win=65536 Len=0 TSval=505238378 TSecr=3814713692"
"76","1000.893247989","127.0.0.1","127.0.1.1","TCP","66","32934  >  44256 [FIN, ACK] Seq=14 Ack=1 Win=65536 Len=0 TSval=505436635 TSecr=3814713692"
"77","1000.893413267","127.0.1.1","127.0.0.1","TCP","92","44256  >  32934 [PSH, ACK] Seq=1 Ack=15 Win=65536 Len=26 TSval=3814911949 TSecr=505436635"
"78","1000.893427913","127.0.0.1","127.0.1.1","TCP","54","32934  >  44256 [RST] Seq=15 Win=0 Len=0"
"79","1175.074741336","127.0.0.1","127.0.1.1","TCP","74","57366  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=505610816 TSecr=0 WS=128"
"80","1175.074755486","127.0.1.1","127.0.0.1","TCP","74","44256  >  57366 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3815086130 TSecr=505610816 WS=128"
"81","1175.074767000","127.0.0.1","127.0.1.1","TCP","66","57366  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=505610816 TSecr=3815086130"
"82","1175.074898918","127.0.0.1","127.0.1.1","TCP","79","57366  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=13 TSval=505610816 TSecr=3815086130"
"83","1175.074908119","127.0.1.1","127.0.0.1","TCP","66","44256  >  57366 [ACK] Seq=1 Ack=14 Win=65536 Len=0 TSval=3815086130 TSecr=505610816"
"84","1175.075066089","127.0.0.1","127.0.1.1","TCP","75","57366  >  44256 [PSH, ACK] Seq=14 Ack=1 Win=65536 Len=9 TSval=505610816 TSecr=3815086130"
"85","1175.075072092","127.0.1.1","127.0.0.1","TCP","66","44256  >  57366 [ACK] Seq=1 Ack=23 Win=65536 Len=0 TSval=3815086130 TSecr=505610816"
"86","1175.075313450","127.0.1.1","127.0.0.1","TCP","92","44256  >  57366 [PSH, ACK] Seq=1 Ack=23 Win=65536 Len=26 TSval=3815086131 TSecr=505610816"
"87","1175.075324129","127.0.0.1","127.0.1.1","TCP","66","57366  >  44256 [ACK] Seq=23 Ack=27 Win=65536 Len=0 TSval=505610817 TSecr=3815086131"
"88","1175.075581126","127.0.0.1","127.0.1.1","TCP","66","57366  >  44256 [FIN, ACK] Seq=23 Ack=27 Win=65536 Len=0 TSval=505610817 TSecr=3815086131"
"89","1175.122926604","127.0.1.1","127.0.0.1","TCP","66","44256  >  57366 [ACK] Seq=27 Ack=24 Win=65536 Len=0 TSval=3815086178 TSecr=505610817"
"90","1266.704335207","127.0.0.1","127.0.1.1","TCP","74","52236  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=505702446 TSecr=0 WS=128"
"91","1266.704349969","127.0.1.1","127.0.0.1","TCP","74","44256  >  52236 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3815177760 TSecr=505702446 WS=128"
"92","1266.704365602","127.0.0.1","127.0.1.1","TCP","66","52236  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=505702446 TSecr=3815177760"
"93","1266.704399466","127.0.0.1","127.0.1.1","TCP","134","52236  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=68 TSval=505702446 TSecr=3815177760"
"94","1266.704402561","127.0.1.1","127.0.0.1","TCP","66","44256  >  52236 [ACK] Seq=1 Ack=69 Win=65536 Len=0 TSval=3815177760 TSecr=505702446"
"95","1266.704560800","127.0.1.1","127.0.0.1","TCP","66","44256  >  57366 [FIN, ACK] Seq=27 Ack=24 Win=65536 Len=0 TSval=3815177760 TSecr=505610817"
"96","1266.704565982","127.0.0.1","127.0.1.1","TCP","54","57366  >  44256 [RST] Seq=24 Win=0 Len=0"
"97","1266.704803120","127.0.1.1","127.0.0.1","TCP","77","44256  >  52236 [PSH, ACK] Seq=1 Ack=69 Win=65536 Len=11 TSval=3815177760 TSecr=505702446"
"98","1266.704811745","127.0.0.1","127.0.1.1","TCP","66","52236  >  44256 [ACK] Seq=69 Ack=12 Win=65536 Len=0 TSval=505702446 TSecr=3815177760"
"99","1266.704842007","127.0.1.1","127.0.0.1","TCP","88","44256  >  52236 [PSH, ACK] Seq=12 Ack=69 Win=65536 Len=22 TSval=3815177760 TSecr=505702446"
"100","1266.704846549","127.0.0.1","127.0.1.1","TCP","66","52236  >  44256 [ACK] Seq=69 Ack=34 Win=65536 Len=0 TSval=505702446 TSecr=3815177760"
"101","1266.705196561","127.0.0.1","127.0.1.1","TCP","66","52236  >  44256 [FIN, ACK] Seq=69 Ack=34 Win=65536 Len=0 TSval=505702447 TSecr=3815177760"
"102","1266.746876713","127.0.1.1","127.0.0.1","TCP","66","44256  >  52236 [ACK] Seq=34 Ack=70 Win=65536 Len=0 TSval=3815177802 TSecr=505702447"
"103","1419.809468458","127.0.0.1","127.0.1.1","TCP","74","35006  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=505855551 TSecr=0 WS=128"
"104","1419.809478536","127.0.1.1","127.0.0.1","TCP","74","44256  >  35006 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3815330865 TSecr=505855551 WS=128"
"105","1419.809486352","127.0.0.1","127.0.1.1","TCP","66","35006  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=505855551 TSecr=3815330865"
"106","1419.809508566","127.0.0.1","127.0.1.1","TCP","134","35006  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=68 TSval=505855551 TSecr=3815330865"
"107","1419.809511573","127.0.1.1","127.0.0.1","TCP","66","44256  >  35006 [ACK] Seq=1 Ack=69 Win=65536 Len=0 TSval=3815330865 TSecr=505855551"
"108","1419.809681934","127.0.1.1","127.0.0.1","TCP","66","44256  >  52236 [FIN, ACK] Seq=34 Ack=70 Win=65536 Len=0 TSval=3815330865 TSecr=505702447"
"109","1419.809686996","127.0.0.1","127.0.1.1","TCP","54","52236  >  44256 [RST] Seq=70 Win=0 Len=0"
"110","1419.809874925","127.0.1.1","127.0.0.1","TCP","69","44256  >  35006 [PSH, ACK] Seq=1 Ack=69 Win=65536 Len=3 TSval=3815330865 TSecr=505855551"
"111","1419.809881574","127.0.0.1","127.0.1.1","TCP","66","35006  >  44256 [ACK] Seq=69 Ack=4 Win=65536 Len=0 TSval=505855551 TSecr=3815330865"
"112","1419.810030305","127.0.0.1","127.0.1.1","TCP","66","35006  >  44256 [FIN, ACK] Seq=69 Ack=4 Win=65536 Len=0 TSval=505855551 TSecr=3815330865"
"113","1419.851120071","127.0.1.1","127.0.0.1","TCP","66","44256  >  35006 [ACK] Seq=4 Ack=70 Win=65536 Len=0 TSval=3815330906 TSecr=505855551"
"114","1677.467893601","127.0.0.1","127.0.1.1","TCP","74","52728  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=506113209 TSecr=0 WS=128"
"115","1677.467905714","127.0.1.1","127.0.0.1","TCP","74","44256  >  52728 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3815588523 TSecr=506113209 WS=128"
"116","1677.467913303","127.0.0.1","127.0.1.1","TCP","66","52728  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=506113209 TSecr=3815588523"
"117","1677.467940942","127.0.0.1","127.0.1.1","TCP","134","52728  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=68 TSval=506113209 TSecr=3815588523"
"118","1677.467943764","127.0.1.1","127.0.0.1","TCP","66","44256  >  52728 [ACK] Seq=1 Ack=69 Win=65536 Len=0 TSval=3815588523 TSecr=506113209"
"119","1677.468051157","127.0.1.1","127.0.0.1","TCP","66","44256  >  35006 [FIN, ACK] Seq=4 Ack=70 Win=65536 Len=0 TSval=3815588523 TSecr=505855551"
"120","1677.468059674","127.0.0.1","127.0.1.1","TCP","54","35006  >  44256 [RST] Seq=70 Win=0 Len=0"
"121","1677.468243454","127.0.1.1","127.0.0.1","TCP","69","44256  >  52728 [PSH, ACK] Seq=1 Ack=69 Win=65536 Len=3 TSval=3815588524 TSecr=506113209"
"122","1677.468251202","127.0.0.1","127.0.1.1","TCP","66","52728  >  44256 [ACK] Seq=69 Ack=4 Win=65536 Len=0 TSval=506113210 TSecr=3815588524"
"123","1677.468374173","127.0.0.1","127.0.1.1","TCP","66","52728  >  44256 [FIN, ACK] Seq=69 Ack=4 Win=65536 Len=0 TSval=506113210 TSecr=3815588524"
"124","1677.510870581","127.0.1.1","127.0.0.1","TCP","66","44256  >  52728 [ACK] Seq=4 Ack=70 Win=65536 Len=0 TSval=3815588566 TSecr=506113210"
"125","1688.370433898","127.0.1.1","127.0.0.1","TCP","66","44256  >  52728 [FIN, ACK] Seq=4 Ack=70 Win=65536 Len=0 TSval=3815599426 TSecr=506113210"
"126","1688.370445243","127.0.0.1","127.0.1.1","TCP","66","52728  >  44256 [ACK] Seq=70 Ack=5 Win=65536 Len=0 TSval=506124112 TSecr=3815599426"
"127","1707.924991850","127.0.0.1","127.0.1.1","TCP","74","54316  >  44256 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=506143666 TSecr=0 WS=128"
"128","1707.925004468","127.0.1.1","127.0.0.1","TCP","74","44256  >  54316 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3815618980 TSecr=506143666 WS=128"
"129","1707.925012300","127.0.0.1","127.0.1.1","TCP","66","54316  >  44256 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=506143666 TSecr=3815618980"
"130","1707.925049834","127.0.0.1","127.0.1.1","TCP","134","54316  >  44256 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=68 TSval=506143666 TSecr=3815618980"
"131","1707.925052839","127.0.1.1","127.0.0.1","TCP","66","44256  >  54316 [ACK] Seq=1 Ack=69 Win=65536 Len=0 TSval=3815618980 TSecr=506143666"
"132","1707.925404035","127.0.1.1","127.0.0.1","TCP","77","44256  >  54316 [PSH, ACK] Seq=1 Ack=69 Win=65536 Len=11 TSval=3815618981 TSecr=506143666"
"133","1707.925409140","127.0.0.1","127.0.1.1","TCP","66","54316  >  44256 [ACK] Seq=69 Ack=12 Win=65536 Len=0 TSval=506143667 TSecr=3815618981"
"134","1707.925445414","127.0.1.1","127.0.0.1","TCP","88","44256  >  54316 [PSH, ACK] Seq=12 Ack=69 Win=65536 Len=22 TSval=3815618981 TSecr=506143667"
"135","1707.925447886","127.0.0.1","127.0.1.1","TCP","66","54316  >  44256 [ACK] Seq=69 Ack=34 Win=65536 Len=0 TSval=506143667 TSecr=3815618981"
"136","1707.925774996","127.0.0.1","127.0.1.1","TCP","66","54316  >  44256 [FIN, ACK] Seq=69 Ack=34 Win=65536 Len=0 TSval=506143667 TSecr=3815618981"
"137","1707.970917440","127.0.1.1","127.0.0.1","TCP","66","44256  >  54316 [ACK] Seq=34 Ack=70 Win=65536 Len=0 TSval=3815619026 TSecr=506143667"
